Date,Time,Flux,Error
19/11/18,14:49:57,1147.959184,38.265306
19/11/18,14:59:57,1135.204082,38.052127
19/11/18,15:09:57,1153.061224,38.350246
19/11/18,15:19:57,1082.908163,37.165312
19/11/18,15:29:57,1155.612245,38.392645
19/11/18,15:39:57,1113.520408,37.686956
19/11/18,15:49:57,1156.887755,38.413827
19/11/18,15:59:57,1156.887755,38.413827
19/11/18,16:09:57,1139.030612,38.116206
19/11/18,16:19:57,1135.204082,38.052127
19/11/18,16:29:57,1123.72449,37.85924
19/11/18,16:39:57,1188.77551,38.939637
19/11/18,16:49:57,1141.581633,38.158866
19/11/18,16:59:57,1121.173469,37.816243
19/11/18,17:09:57,1130.102041,37.966521
19/11/18,17:19:57,1094.387755,37.361782
19/11/18,17:29:57,1181.122449,38.814092
19/11/18,17:39:57,1132.653061,38.009348
19/11/18,17:49:57,1114.795918,37.708534
19/11/18,17:59:57,1174.744898,38.70916
19/11/18,18:09:57,1169.642857,38.62501
19/11/18,18:19:57,1118.622449,37.773196
19/11/18,18:29:57,1123.72449,37.85924
19/11/18,18:39:57,1214.285714,39.355226
19/11/18,18:49:57,1160.714286,38.477304
19/11/18,18:59:57,1140.306122,38.137542
19/11/18,19:09:57,1182.397959,38.835044
19/11/18,19:19:57,1145.408163,38.222765
19/11/18,19:29:57,1161.989796,38.498439
19/11/18,19:39:57,1167.091837,38.582866
19/11/18,19:49:57,1170.918367,38.646065
19/11/18,19:59:57,1221.938776,39.47905
19/11/18,20:09:57,1220.663265,39.45844
19/11/18,20:19:57,1130.102041,37.966521
19/11/18,20:29:57,1144.132653,38.201477
19/11/18,20:39:57,1196.428571,39.064778
19/11/18,20:49:57,1076.530612,37.055712
19/11/18,20:59:57,1121.173469,37.816243
19/11/18,21:09:57,1151.785714,38.329029
19/11/18,21:19:57,1191.326531,38.981395
19/11/18,21:29:57,1173.469388,38.68814
19/11/18,21:39:57,1121.173469,37.816243
19/11/18,21:49:57,1133.928571,38.030744
19/11/18,21:59:57,1131.377551,37.98794
19/11/18,22:09:57,1125,37.88072
19/11/18,22:19:57,1163.265306,38.519563
19/11/18,22:29:57,1123.72449,37.85924
19/11/18,22:39:57,1141.581633,38.158866
19/11/18,22:49:57,1161.989796,38.498439
19/11/18,22:59:57,1125,37.88072
19/11/18,23:09:57,1177.295918,38.751167
19/11/18,23:19:57,1137.755102,38.094858
19/11/18,23:29:57,1246.173469,39.868621
19/11/18,23:39:57,1127.55102,37.923645
19/11/18,23:49:57,1144.132653,38.201477
19/11/18,23:59:57,1081.632653,37.143418
19/11/19,0:09:57,1163.265306,38.519563
19/11/19,0:19:57,1159.438776,38.456157
19/11/19,0:29:57,1126.27551,37.902189
19/11/19,0:39:57,1181.122449,38.814092
19/11/19,0:49:57,1122.44898,37.837747
19/11/19,0:59:57,1043.367347,36.480484
19/11/19,1:09:57,1085.459184,37.209062
