Date,Time,Flux,Error
19/11/21,14:30:30,1382.653061,41.995096
19/11/21,14:40:30,1408.163265,42.380734
19/11/21,14:50:30,1409.438776,42.399924
19/11/21,15:00:30,1355.867347,41.586328
19/11/21,15:10:30,1378.826531,41.936944
19/11/21,15:20:30,1385.204082,42.033819
19/11/21,15:30:30,1414.540816,42.476596
19/11/21,15:40:30,1463.010204,43.1982
19/11/21,15:50:30,1411.989796,42.438277
19/11/21,16:00:30,1428.571429,42.686736
19/11/21,16:10:30,1494.897959,43.666436
19/11/21,16:20:30,1452.806122,43.047288
19/11/21,16:30:30,1471.938776,43.329816
19/11/21,16:40:30,1442.602041,42.895846
19/11/21,16:50:30,1432.397959,42.743868
19/11/21,17:00:30,1373.72449,41.859283
19/11/21,17:10:30,1375,41.878712
19/11/21,17:20:30,1363.520408,41.703527
19/11/21,17:30:30,1362.244898,41.684017
19/11/21,17:40:30,1434.94898,42.781913
19/11/21,17:50:30,1405.612245,42.342328
19/11/21,18:00:30,1447.704082,42.971634
19/11/21,18:10:30,1377.55102,41.917543
19/11/21,18:20:30,1452.806122,43.047288
19/11/21,18:30:30,1376.27551,41.898132
19/11/21,18:40:30,1440.05102,42.857902
19/11/21,18:50:30,1386.479592,42.053167
19/11/21,19:00:30,1460.459184,43.160521
19/11/21,19:10:30,1307.397959,40.836252
19/11/21,19:20:30,1442.602041,42.895846
19/11/21,19:30:30,1446.428571,42.9527
19/11/21,19:40:30,1441.326531,42.876878
19/11/21,19:50:30,1414.540816,42.476596
19/11/21,20:00:30,1357.142857,41.605884
19/11/21,20:10:30,1432.397959,42.743868
19/11/21,20:20:30,1414.540816,42.476596
19/11/21,20:30:30,1362.244898,41.684017
19/11/21,20:40:30,1422.193878,42.591347
19/11/21,20:50:30,1396.683673,42.207633
19/11/21,21:00:30,1403.061224,42.303888
19/11/21,21:10:30,1451.530612,43.028387
19/11/21,21:20:30,1397.959184,42.226901
19/11/21,21:30:30,1404.336735,42.323112
19/11/21,21:40:30,1354.591837,41.566762
19/11/21,21:50:30,1401.785714,42.284654
19/11/21,22:00:30,1336.734694,41.291873
19/11/21,22:10:30,1372.44898,41.839846
19/11/21,22:20:30,1436.22449,42.800923
19/11/21,22:30:30,1404.336735,42.323112
19/11/21,22:40:30,1415.816327,42.495743
19/11/21,22:50:30,1468.112245,43.273458
19/11/21,23:00:30,1391.581633,42.130471
19/11/21,23:10:30,1406.887755,42.361535
19/11/21,23:20:30,1427.295918,42.667675
19/11/21,23:30:30,1335.459184,41.272168
19/11/21,23:40:30,1350.765306,41.50801
19/11/21,23:50:30,1369.897959,41.800943
19/11/22,0:00:30,1362.244898,41.684017
19/11/22,0:10:30,1364.795918,41.723029
19/11/22,0:20:30,1418.367347,42.53401
