Date,Time,Flux,Error
19/12/02,14:54:28,1174.744898,38.70916
19/12/02,15:04:28,1090.561224,37.296407
19/12/02,15:14:28,1190.05102,38.960521
19/12/02,15:24:28,1121.173469,37.816243
19/12/02,15:34:28,1086.734694,37.230917
19/12/02,15:44:28,1127.55102,37.923645
19/12/02,15:54:28,1147.959184,38.265306
19/12/02,16:04:28,1085.459184,37.209062
19/12/02,16:14:28,1234.693878,39.684564
19/12/02,16:24:28,1184.94898,38.876915
19/12/02,16:34:28,1132.653061,38.009348
19/12/02,16:44:28,1146.683673,38.244042
19/12/02,16:54:28,1151.785714,38.329029
19/12/02,17:04:28,1234.693878,39.684564
19/12/02,17:14:28,1153.061224,38.350246
19/12/02,17:24:28,1131.377551,37.98794
19/12/02,17:34:28,1170.918367,38.646065
19/12/02,17:44:28,1082.908163,37.165312
19/12/02,17:54:28,1164.540816,38.540676
19/12/02,18:04:28,1145.408163,38.222765
19/12/02,18:14:28,1146.683673,38.244042
19/12/02,18:24:28,1207.908163,39.251741
19/12/02,18:34:28,1112.244898,37.665365
19/12/02,18:44:28,1158.163265,38.434998
19/12/02,18:54:28,1107.142857,37.578877
19/12/02,19:04:28,1154.336735,38.371451
19/12/02,19:14:28,1052.295918,36.636241
19/12/02,19:24:28,1095.663265,37.383548
19/12/02,19:34:28,1122.44898,37.837747
19/12/02,19:44:28,1205.357143,39.210271
19/12/02,19:54:28,1201.530612,39.147983
19/12/02,20:04:28,1093.112245,37.340003
19/12/02,20:14:28,1075.255102,37.033753
19/12/02,20:24:28,1121.173469,37.816243
19/12/02,20:34:28,1048.469388,36.569569
19/12/02,20:44:28,1085.459184,37.209062
19/12/02,20:54:28,1169.642857,38.62501
19/12/02,21:04:28,1146.683673,38.244042
19/12/02,21:14:28,1151.785714,38.329029
19/12/02,21:24:28,1188.77551,38.939637
19/12/02,21:34:28,1136.479592,38.073499
19/12/02,21:44:28,1082.908163,37.165312
19/12/02,21:54:28,1128.826531,37.945089
19/12/02,22:04:28,1080.357143,37.121511
19/12/02,22:14:28,1190.05102,38.960521
19/12/02,22:24:28,1095.663265,37.383548
19/12/02,22:34:28,1084.183673,37.187193
19/12/02,22:44:28,1161.989796,38.498439
19/12/02,22:54:28,1047.193878,36.547318
19/12/02,23:04:28,1123.72449,37.85924
19/12/02,23:14:28,1108.418367,37.600518
19/12/02,23:24:28,1117.346939,37.751655
19/12/02,23:34:28,1177.295918,38.751167
19/12/02,23:44:28,1085.459184,37.209062
19/12/02,23:54:28,1118.622449,37.773196
19/12/03,0:04:28,1130.102041,37.966521
19/12/03,0:14:28,1131.377551,37.98794
19/12/03,0:24:28,1150.510204,38.3078
19/12/03,0:34:28,1045.918367,36.525054
19/12/03,0:44:28,1105.867347,37.557224
19/12/03,0:54:28,1090.561224,37.296407
19/12/03,1:04:28,1117.346939,37.751655
19/12/03,1:14:28,1102.040816,37.49219
19/12/03,1:24:28,1077.806122,37.077658
19/12/03,1:34:28,1098.214286,37.427043
19/12/03,1:44:28,1146.683673,38.244042
19/12/03,1:54:28,1172.193878,38.667108
19/12/03,2:04:28,1160.714286,38.477304
19/12/03,2:14:28,1211.734694,39.313865
19/12/03,2:24:28,1193.877551,39.023109
19/12/03,2:34:28,1126.27551,37.902189
19/12/03,2:44:28,1125,37.88072
19/12/03,2:54:28,1107.142857,37.578877
19/12/03,3:04:28,1096.938776,37.405302
19/12/03,3:14:28,1086.734694,37.230917
19/12/03,3:24:28,1178.571429,38.772153
19/12/03,3:34:28,1136.479592,38.073499
19/12/03,3:44:28,1109.693878,37.622146
19/12/03,3:54:28,1123.72449,37.85924
19/12/03,4:04:28,1123.72449,37.85924
19/12/03,4:14:28,1066.326531,36.879674
19/12/03,4:24:28,1140.306122,38.137542
19/12/03,4:34:28,1089.285714,37.27459
19/12/03,4:44:28,1102.040816,37.49219
19/12/03,4:54:28,1190.05102,38.960521
19/12/03,5:04:28,1169.642857,38.62501
19/12/03,5:14:28,1142.857143,38.180177
19/12/03,5:24:28,1187.5,38.918741
19/12/03,5:34:28,1163.265306,38.519563
19/12/03,5:44:28,1135.204082,38.052127
19/12/03,5:54:28,1127.55102,37.923645
19/12/03,6:04:28,1135.204082,38.052127
19/12/03,6:14:28,1182.397959,38.835044
19/12/03,6:24:28,1163.265306,38.519563
19/12/03,6:34:28,1077.806122,37.077658
19/12/03,6:44:28,1159.438776,38.456157
19/12/03,6:54:28,1072.704082,36.989796
19/12/03,7:04:28,1154.336735,38.371451
19/12/03,7:14:28,1088.010204,37.25276
19/12/03,7:24:28,1179.846939,38.793128
19/12/03,7:34:28,1145.408163,38.222765
19/12/03,7:44:28,1174.744898,38.70916
19/12/03,7:54:28,1179.846939,38.793128
19/12/03,8:04:28,1177.295918,38.751167
19/12/03,8:14:28,1150.510204,38.3078
19/12/03,8:24:28,1098.214286,37.427043
19/12/03,8:34:28,1172.193878,38.667108
19/12/03,8:44:28,1156.887755,38.413827
19/12/03,8:54:28,1146.683673,38.244042
19/12/03,9:04:28,1123.72449,37.85924
19/12/03,9:14:28,1119.897959,37.794725
19/12/03,9:24:28,1117.346939,37.751655
19/12/03,9:34:28,1160.714286,38.477304
19/12/03,9:44:28,1188.77551,38.939637
19/12/03,9:54:28,1192.602041,39.002257
19/12/03,10:04:28,1137.755102,38.094858
19/12/03,10:14:28,1132.653061,38.009348
19/12/03,10:24:28,1178.571429,38.772153
19/12/03,10:34:28,1121.173469,37.816243
19/12/03,10:44:28,1127.55102,37.923645
19/12/03,10:54:28,1114.795918,37.708534
19/12/03,11:04:28,1128.826531,37.945089
19/12/03,11:14:28,1123.72449,37.85924
19/12/03,11:24:28,1108.418367,37.600518
19/12/03,11:34:28,1205.357143,39.210271
19/12/03,11:44:28,1132.653061,38.009348
19/12/03,11:54:28,1141.581633,38.158866
19/12/03,12:04:28,1130.102041,37.966521
19/12/03,12:14:28,1139.030612,38.116206
19/12/03,12:24:28,1186.22449,38.897833
19/12/03,12:34:28,1139.030612,38.116206
19/12/03,12:44:28,1137.755102,38.094858
19/12/03,12:54:28,1116.071429,37.730101
19/12/03,13:04:28,1183.673469,38.855985
19/12/03,13:14:28,1132.653061,38.009348
19/12/03,13:24:28,1109.693878,37.622146
19/12/03,13:34:28,1165.816327,38.561777
19/12/03,13:44:28,1193.877551,39.023109
19/12/03,13:54:28,1211.734694,39.313865
19/12/03,14:04:28,1187.5,38.918741
19/12/03,14:14:28,1223.214286,39.499649
19/12/03,14:24:28,1186.22449,38.897833
19/12/03,14:34:28,969.387755,35.16339
19/12/03,14:44:28,1163.265306,38.519563
19/12/03,15:04:28,1183.673469,38.855985
19/12/03,15:14:28,1299.744898,40.716555
19/12/03,15:24:28,1164.540816,38.540676
19/12/03,15:34:28,1205.357143,39.210271
19/12/03,15:44:28,1257.653061,40.051833
19/12/03,15:54:28,1216.836735,39.396544
